,0
1121,54423950
1122,54429840
1123,54472839
1124,54511770
1125,54555727
1126,54564738
1127,54583919
1128,54626481
1129,54676698
1130,54679951
1131,54686119
1132,54715428
1133,54727176
1134,54727767
1135,54733055
1136,54737113
1137,54788742
1138,54810173
1139,54923821
1140,54942051
1141,54951405
1142,54966482
1143,54972193
1144,55006696
1145,55066491
1146,55080646
1147,55130584
1148,55136946
1149,55246594
1150,55355313
1151,55357909
1152,55364743
1153,55378061
1154,55412947
1155,55444134
1156,55461199
1157,55491166
1158,55517518
1159,55580467
1160,55591438
1161,55631521
1162,55659972
1163,55713553
1164,55765115
1165,55765627
1166,55796436
1167,55804234
1168,55808376
1169,55810388
1170,55846692
1171,55861587
1172,55866086
1173,55908055
1174,55913496
1175,56033170
1176,56041862
1177,56046250
1178,56055279
1179,56061363
1180,56142122
1181,56171755
1182,56190212
1183,56272791
1184,56297172
1185,56312976
1186,56353475
1187,56355142
1188,56355979
1189,56425361
1190,56470739
1191,56483773
1192,56489743
1193,56498657
1194,56522806
1195,56582349
1196,56620968
1197,56629668
1198,56638204
1199,56706631
1200,56722268
1201,56762576
1202,56769508
1203,56776521
1204,56784475
1205,56816098
1206,56824076
1207,56864228
1208,56904327
1209,56914691
1210,57004638
1211,57025320
1212,57049060
1213,57135885
1214,57192688
1215,57219044
1216,57262236
1217,57289586
1218,57328353
1219,57353977
1220,57368057
1221,57390133
1222,57391857
1223,57404450
1224,57417758
1225,57418426
1226,57448697
1227,57449637
1228,57477450
1229,57504826
1230,57539660
1231,57553946
1232,57562243
1233,57617673
1234,57759307
1235,57813131
1236,57860505
1237,57868535
1238,57874137
1239,58075862
1240,58188028
1241,58210519
1242,58253694
1243,58257164
1244,58261993
1245,58286012
1246,58341733
1247,58356632
1248,58372189
1249,58417979
1250,58449906
1251,58453358
1252,58477638
1253,58483493
1254,58494247
1255,58498442
1256,58544914
1257,58559463
1258,58579526
1259,58587898
1260,58604471
1261,58691502
1262,58702406
1263,58729864
1264,58761128
1265,58819865
1266,58835154
1267,58864593
1268,58896308
1269,58951226
1270,58989487
1271,59025746
1272,59025886
1273,59038659
1274,59054158
1275,59068563
1276,59148530
1277,59159595
1278,59169054
1279,59228165
1280,59231871
1281,59246018
1282,59254289
1283,59254912
1284,59265919
1285,59272322
1286,59272326
1287,59307591
1288,59374214
1289,59389892
1290,59400041
1291,59463024
1292,59479843
1293,59500182
1294,59529045
1295,59536934
1296,59544463
1297,59662927
1298,59673677
1299,59676576
1300,59678187
1301,59687021
1302,59698333
1303,59797199
1304,59803777
1305,59823247
1306,59832560
1307,59902902
1308,59909352
1309,59981338
1310,60038497
1311,60044912
1312,60066315
1313,60094950
1314,60099789
1315,60101605
1316,60114608
1317,60120101
1318,60120513
1319,60135995
1320,60137584
1321,60195196
1322,60212067
1323,60216620
1324,60233852
1325,60256244
1326,60289277
1327,60351205
1328,60360098
1329,60428183
1330,60432017
1331,60533597
1332,60540664
1333,60555220
1334,60559838
1335,60572810
1336,60827267
1337,60922078
1338,60953651
1339,60983070
1340,61058017
1341,61071571
1342,61106670
1343,61119874
1344,61165158
1345,61239959
1346,61265837
1347,61278234
1348,61381700
1349,61398432
1350,61571316
1351,61613502
1352,61660918
1353,61677117
1354,61736908
1355,61811101
1356,61911397
1357,61947284
1358,62031081
1359,62035603
1360,62056731
1361,62060075
1362,62146724
1363,62228822
1364,62265235
1365,62270892
1366,62354167
1367,62369794
1368,62370333
1369,62415542
1370,62421930
1371,62490464
1372,62501050
1373,62504925
1374,62518050
1375,62596352
1376,62671918
1377,62678708
1378,62702454
1379,62714936
1380,62724691
1381,62732998
1382,62733496
1383,62818670
1384,62844180
1385,62907304
1386,62938936
1387,62945190
1388,62949881
1389,63032788
1390,63061788
1391,63100808
1392,63107178
1393,63197370
1394,63234595
1395,63251401
1396,63324986
1397,63344238
1398,63386380
1399,63389746
1400,63395050
1401,63395692
1402,63395734
1403,63477629
1404,63502374
1405,63512788
1406,63521770
1407,63531555
1408,63531769
1409,63535698
1410,63555696
1411,63595130
1412,63609266
1413,63649542
1414,63653384
1415,63677634
1416,63714825
1417,63754361
1418,63757115
1419,63761969
1420,63802701
1421,63809629
1422,63832479
1423,63860872
1424,63916807
1425,63950943
1426,63959291
1427,63969825
1428,64003744
1429,64041910
1430,64110978
1431,64197267
1432,64212414
1433,64239260
1434,64241801
1435,64318528
1436,64332477
1437,64373033
1438,64374945
1439,64376599
1440,64392458
1441,64421278
1442,64429389
1443,64467339
1444,64471408
1445,64472212
1446,64478057
1447,64515813
1448,64527680
1449,64555357
1450,64569391
1451,64570995
1452,64590762
1453,64594030
1454,64630343
1455,64667649
1456,64725705
1457,64731053
1458,64741871
1459,64774891
1460,64794153
1461,64798315
1462,64852258
1463,64868657
1464,64934682
1465,64936533
1466,64970334
1467,64981389
1468,65024609
1469,65029737
1470,65040274
1471,65130632
1472,65166122
1473,65171071
1474,65191358
1475,65277767
1476,65294673
1477,65319560
1478,65378044
1479,65473201
1480,65577581
1481,65579178
1482,65579954
1483,65606994
1484,65656140
1485,65656188
1486,65667553
1487,65686648
1488,65782691
1489,65853771
1490,65858008
1491,65880654
1492,65882121
1493,65882738
1494,65885218
1495,65979321
1496,65984223
1497,66018222
1498,66023009
1499,66037638
1500,66061219
1501,66101864
1502,66122880
1503,66128204
1504,66159711
1505,66167133
1506,66277787
1507,66297468
1508,66299006
1509,66321609
1510,66403868
1511,66470688
1512,66479840
1513,66565847
1514,66569677
1515,66571040
1516,66584707
1517,66616136
1518,66634829
1519,66646091
1520,66653063
1521,66653423
1522,66669344
1523,66713793
1524,66714512
1525,66728130
1526,66730696
1527,66737405
1528,66739719
1529,66747372
1530,66759572
1531,66774462
1532,66775439
1533,66787808
1534,66801248
1535,66842591
1536,66843848
1537,66873830
1538,66875682
1539,66905016
1540,66938905
1541,66943698
1542,66979498
1543,66984724
1544,67002215
1545,67007023
1546,67016855
1547,67095959
1548,67158586
1549,67170680
1550,67184902
1551,67244141
1552,67302542
1553,67380128
1554,67391277
1555,67393903
1556,67397187
1557,67400103
1558,67435128
1559,67473090
1560,67473106
1561,67485274
1562,67697785
1563,67701760
1564,67704129
1565,67718698
1566,67724503
1567,67765289
1568,67776028
1569,67777801
1570,67781874
1571,67794067
1572,67820671
1573,67825807
1574,67849056
1575,67850497
1576,67895550
1577,67926115
1578,67941999
1579,67946845
1580,67952782
1581,67975172
1582,68011949
1583,68013987
1584,68045896
1585,68054135
1586,68087738
1587,68102719
1588,68104134
1589,68104144
1590,68122700
1591,68173694
1592,68208119
1593,68218324
1594,68232622
1595,68261502
1596,68385488
1597,68386610
1598,68402593
1599,68421557
1600,68492217
1601,68567253
1602,68594662
1603,68599237
1604,68688190
1605,68695758
1606,68770367
1607,68774715
1608,68828312
1609,68833035
1610,68869439
1611,68872891
1612,68873536
1613,68883903
1614,68917696
1615,68920312
1616,68937678
1617,68960027
1618,68981539
1619,68988032
1620,68997073
1621,69001326
1622,69005498
1623,69022662
1624,69041410
1625,69094367
1626,69096302
1627,69118881
1628,69133166
1629,69176863
1630,69181460
1631,69306097
1632,69317638
1633,69326473
1634,69334269
1635,69401481
1636,69443461
1637,69489952
1638,69660633
1639,69691649
1640,69748218
1641,69892305
1642,69934309
1643,69976753
1644,69982734
1645,69990234
1646,69992373
1647,70030571
1648,70038773
1649,70044665
1650,70086619
1651,70100292
1652,70264339
1653,70264391
1654,70285041
1655,70285931
1656,70300530
1657,70316619
1658,70380648
1659,70436763
1660,70459008
1661,70482188
1662,70562633
1663,70593411
1664,70596959
1665,70615489
1666,70622777
1667,70678073
1668,70691375
1669,70695310
1670,70726553
1671,70734585
1672,70736630
1673,70744896
1674,70748112
1675,70787684
1676,70802763
1677,70813186
1678,70869248
1679,70876117
1680,70894227
1681,70989329
1682,71035577
1683,71042137
1684,71057072
1685,71060484
1686,71062469
1687,71097062
1688,71112462
1689,71112753
1690,71126427
1691,71126808
1692,71143274
1693,71172430
1694,71184395
1695,71202683
1696,71239001
1697,71246901
1698,71258162
1699,71281818
1700,71297605
1701,71300115
1702,71333209
1703,71340558
1704,71359674
1705,71359805
1706,71411443
1707,71413455
1708,71433303
1709,71436247
1710,71459174
1711,71469207
1712,71478652
1713,71484136
1714,71487124
1715,71500433
1716,71516258
1717,71540215
1718,71547005
1719,71557670
1720,71560478
1721,71589522
1722,71603925
1723,71626747
1724,71675475
1725,71691001
1726,71728917
1727,71736152
1728,71817677
1729,71853470
1730,71854468
1731,71859666
1732,71867874
1733,71871019
1734,71883084
1735,71883341
1736,71938096
1737,71961439
1738,71971538
1739,72001704
1740,72053375
1741,72090650
1742,72098601
1743,72102899
1744,72235185
1745,72258113
1746,72259608
1747,72262705
1748,72277416
1749,72286839
1750,72363004
1751,72373919
1752,72407574
1753,72413442
1754,72433153
1755,72456051
1756,72515646
1757,72517722
1758,72530562
1759,72531034
1760,72578953
1761,72588505
1762,72588658
1763,72615633
1764,72685403
1765,72686283
1766,72686312
1767,72702508
1768,72716698
1769,72717035
1770,72818200
1771,72835707
1772,72883240
1773,72978059
1774,73027428
1775,73056669
1776,73059417
1777,73068978
1778,73087790
1779,73103208
1780,73186529
1781,73188267
1782,73219197
1783,73232495
1784,73237543
1785,73277541
1786,73279366
1787,73379691
1788,73382257
1789,73391631
1790,73407718
1791,73419794
1792,73427976
1793,73440701
1794,73507988
1795,73597470
1796,73670046
1797,73675300
1798,73684952
1799,73716707
1800,73717036
1801,73802582
1802,73848200
1803,73856729
1804,73879006
1805,73892832
1806,73896583
1807,74063395
1808,74149820
1809,74201111
1810,74211786
1811,74215677
1812,74217430
1813,74229852
1814,74240322
1815,74246948
1816,74249411
1817,74260830
1818,74265922
1819,74269505
1820,74279605
1821,74332827
1822,74376460
1823,74379207
1824,74386117
1825,74397444
1826,74411195
1827,74435793
1828,74442553
1829,74444301
1830,74457735
1831,74566264
1832,74576455
1833,74654755
1834,74846707
1835,74862821
1836,74979410
1837,74983625
1838,74989525
1839,74991919
1840,74993920
1841,75002073
1842,75020162
1843,75087157
1844,75100561
1845,75113646
1846,75115301
1847,75132012
1848,75173814
1849,75179554
1850,75184649
1851,75192632
1852,75197401
1853,75278684
1854,75280961
1855,75286608
1856,75312820
1857,75357991
1858,75383294
1859,75489362
1860,75495012
1861,75501304
1862,75530908
1863,75594886
1864,75599896
1865,75601001
1866,75783491
1867,75785096
1868,75820033
1869,75849213
1870,75859098
1871,75863610
1872,75976247
1873,75986568
1874,76023628
1875,76030811
1876,76034310
1877,76034435
1878,76041087
1879,76127002
1880,76185171
1881,76226221
1882,76236263
1883,76334810
1884,76369947
1885,76504885
1886,76517301
1887,76520046
1888,76525385
1889,76542554
1890,76550580
1891,76615373
1892,76709351
1893,76716602
1894,76718224
1895,76719560
1896,76742461
1897,76748832
1898,76780784
1899,76804278
1900,76818411
1901,76873314
1902,76874690
1903,76888876
1904,77012853
1905,77043318
1906,77048546
1907,77147248
1908,77163902
1909,77176083
1910,77178537
1911,77183520
1912,77197985
1913,77206150
1914,77250411
1915,77266921
1916,77301679
1917,77303817
1918,77309623
1919,77410640
1920,77478478
1921,77519341
1922,77546299
1923,77643828
1924,77713349
1925,77713485
1926,77718347
1927,77739416
1928,77755758
1929,77795564
1930,77820957
1931,77839294
1932,77856859
1933,77871652
1934,77930172
1935,77936663
1936,77967739
1937,77970329
1938,77972241
1939,78038002
1940,78055522
1941,78082965
1942,78088295
