,0
1384,72218533
1385,72299479
1386,72320034
1387,72337836
1388,72373919
1389,72384383
1390,72500211
1391,72513972
1392,72535485
1393,72657668
1394,72694838
1395,72702508
1396,72717035
1397,72724348
1398,72764312
1399,72818200
1400,72835707
1401,72945764
1402,72978059
1403,73008014
1404,73027428
1405,73062299
1406,73209450
1407,73291621
1408,73352515
1409,73380570
1410,73407718
1411,73419794
1412,73442241
1413,73485158
1414,73487860
1415,73561806
1416,73575772
1417,73655377
1418,73670046
1419,73746602
1420,73759055
1421,73802582
1422,73832449
1423,73879006
1424,73907352
1425,74070118
1426,74232055
1427,74265922
1428,74335839
1429,74345183
1430,74351727
1431,74356565
1432,74420836
1433,74430453
1434,74435793
1435,74454797
1436,74469620
1437,74576455
1438,74634344
1439,74652435
1440,74783846
1441,74960544
1442,74974203
1443,75049092
1444,75167778
1445,75175808
1446,75282086
1447,75312820
1448,75383294
1449,75421877
1450,75427065
1451,75430036
1452,75594886
1453,75710506
1454,75789574
1455,75802245
1456,75876135
1457,76032041
1458,76032091
1459,76054761
1460,76127002
1461,76248357
1462,76294899
1463,76298561
1464,76334010
1465,76372980
1466,76393299
1467,76525385
1468,76550580
1469,76552457
1470,76592719
1471,76625173
1472,76652211
1473,76666252
1474,76706097
1475,76715864
1476,76717856
1477,76719560
1478,76728558
1479,76748832
1480,76789333
1481,76846564
1482,76904792
1483,77012853
1484,77036824
1485,77043318
1486,77050760
1487,77168848
1488,77334190
1489,77484510
1490,77585845
1491,77590194
1492,77651100
1493,77657063
1494,77662058
1495,77668508
1496,77675630
1497,77713349
1498,77766369
1499,77782308
1500,77856859
1501,77885300
1502,77924022
1503,77941996
1504,77962841
1505,77966005
1506,77968842
1507,77970329
1508,78098661
1509,78120502
1510,78127033
1511,78176751
1512,78217028
1513,78225796
1514,78369065
1515,78508417
1516,78511226
1517,78613320
1518,78618472
1519,78701267
1520,78715597
1521,78773378
1522,78774788
1523,78805206
1524,78848302
1525,78944722
1526,78965590
1527,79260567
1528,79310146
1529,79341269
1530,79409870
1531,79415094
1532,79438634
1533,79459205
1534,79468222
1535,79473908
1536,79706487
1537,79763762
1538,79773838
1539,79784981
1540,79867158
1541,79974679
1542,80004868
1543,80036214
1544,80049617
1545,80153642
1546,80162055
1547,80167740
1548,80195217
1549,80200961
1550,80281370
1551,80289500
1552,80327212
1553,80358711
1554,80400460
1555,80483070
1556,80550033
1557,80586368
1558,80612622
1559,80653854
1560,80703568
1561,80767016
1562,80790630
1563,80858396
1564,80873474
1565,80875110
1566,81026260
1567,81087993
1568,81097873
1569,81190017
1570,81251100
1571,81269758
1572,81351055
1573,81402725
1574,81544875
1575,81656573
1576,81668694
1577,81828388
1578,81867043
1579,81941620
1580,81943783
1581,82027838
1582,82110465
1583,82145978
1584,82152732
1585,82293902
1586,82302306
1587,82311911
1588,82555057
1589,82565280
1590,82567040
1591,82663713
1592,82672102
1593,82684670
1594,82710022
1595,82724895
1596,82819466
1597,82833088
1598,82833246
1599,82858662
1600,82893366
1601,83091309
1602,83130786
1603,83139243
1604,83174754
1605,83316569
1606,83350366
1607,83394912
1608,83430111
1609,83456425
1610,83458684
1611,83525326
1612,83543930
1613,83573271
1614,83577125
1615,83640308
1616,83644046
1617,83654084
1618,83656511
1619,83663969
1620,83683179
1621,83761767
1622,83874039
1623,83987982
1624,84021702
1625,84076711
1626,84111187
1627,84184468
1628,84281102
1629,84281766
1630,84286219
1631,84286468
1632,84335788
1633,84344071
1634,84362252
1635,84377281
1636,84468400
1637,84606625
1638,84634391
1639,84669502
1640,84690980
1641,84764523
1642,84896150
1643,84912196
1644,84968102
1645,84968839
1646,85001253
1647,85017368
1648,85029168
1649,85102744
1650,85122926
1651,85138807
1652,85169857
1653,85178156
1654,85186742
1655,85192744
1656,85233316
1657,85251300
1658,85255042
1659,85290604
1660,85378365
1661,85412414
1662,85459990
1663,85671031
1664,85678747
1665,85684175
1666,85689783
1667,85743222
1668,85749067
1669,85810386
1670,85843001
1671,85854166
1672,85876913
1673,85948420
1674,85950813
1675,86025959
1676,86097735
1677,86175690
1678,86256548
1679,86361023
1680,86364739
1681,86410182
1682,86532061
1683,86542159
1684,86661963
1685,86678714
1686,86710546
1687,86847018
1688,86918629
1689,86930686
1690,86948504
1691,86967837
1692,87005441
1693,87012463
1694,87075736
1695,87281195
1696,87281527
1697,87351178
1698,87353346
1699,87367021
1700,87389480
1701,87514055
1702,87548844
1703,87582920
1704,87586664
1705,87622798
1706,87671920
1707,87716915
1708,87752770
1709,87764323
1710,87871899
1711,88043558
1712,88044873
1713,88050044
1714,88138962
1715,88176259
1716,88181434
1717,88199541
1718,88258801
1719,88262293
1720,88267345
1721,88297937
1722,88329376
1723,88370555
1724,88382317
1725,88384972
1726,88430898
1727,88459142
1728,88463263
1729,88523346
1730,88579626
1731,88591456
1732,88599729
1733,88758767
1734,88776055
1735,88810236
1736,88826022
1737,88927584
1738,88932805
1739,88983935
1740,89093811
1741,89223377
1742,89299798
1743,89342977
1744,89349455
1745,89370375
1746,89372044
1747,89430658
1748,89452639
1749,89488840
1750,89529839
1751,89537825
1752,89549228
1753,89554477
1754,89556178
1755,89567882
1756,89718923
1757,89742708
1758,89749503
1759,89767320
1760,89767607
1761,89828584
1762,89870816
1763,89931435
1764,89951134
1765,90129834
1766,90173170
1767,90206390
1768,90243920
1769,90286772
1770,90359409
1771,90444234
1772,90477480
1773,90500925
1774,90537975
1775,90541987
1776,90586282
1777,90586760
1778,90588481
1779,90644410
1780,90648209
1781,90651065
1782,90694522
1783,90709176
1784,90877894
1785,90877992
1786,90895833
1787,90902620
1788,90904389
1789,90944077
1790,90966020
1791,90978614
1792,91010171
1793,91050590
1794,91155103
1795,91172839
1796,91233849
1797,91312961
1798,91346514
1799,91373328
1800,91421531
1801,91423556
1802,91438794
1803,91576101
1804,91685980
1805,91697749
1806,91740188
1807,91785443
1808,91828091
1809,91860695
1810,91863236
1811,91870745
1812,91946784
1813,91949658
1814,91969721
1815,91970683
1816,91983987
1817,92006684
1818,92076127
1819,92140151
1820,92164404
1821,92205845
1822,92324893
1823,92331156
1824,92333965
1825,92420652
1826,92511465
1827,92540786
1828,92542531
1829,92563135
1830,92573478
1831,92670139
1832,92678219
1833,92696951
1834,92712578
1835,92751737
1836,92782121
1837,92820458
1838,92859904
1839,92893750
1840,93015670
1841,93016773
1842,93068407
1843,93165497
1844,93197136
1845,93205120
1846,93250739
1847,93261537
1848,93287918
1849,93389009
1850,93427911
1851,93431028
1852,93570461
1853,93658484
1854,93719462
1855,93813332
1856,93843328
1857,93848557
1858,93854088
1859,93944075
1860,93953544
1861,94021755
1862,94072114
1863,94093415
1864,94179732
1865,94300822
1866,94315787
1867,94319459
1868,94383054
1869,94396587
1870,94530099
1871,94530913
1872,94537800
1873,94544680
1874,94571499
1875,94611788
1876,94656317
1877,94678156
1878,94713471
1879,94735906
1880,94778481
1881,94790631
1882,94792902
1883,94806536
1884,94968285
1885,94968462
1886,95060711
1887,95069286
1888,95096067
1889,95103667
1890,95205417
1891,95214126
1892,95232413
1893,95291461
1894,95320176
1895,95323523
1896,95373514
1897,95449938
1898,95471627
1899,95501227
1900,95527176
1901,95533500
1902,95546984
1903,95562356
1904,95626164
1905,95635097
1906,95663925
1907,95692412
1908,95696847
1909,95724922
1910,95735066
1911,95764154
1912,95824834
1913,95859099
1914,95862972
1915,95886280
1916,95911413
1917,95911942
1918,96028409
1919,96039313
1920,96058933
1921,96070026
1922,96125151
1923,96126570
1924,96155132
1925,96163476
1926,96224407
1927,96241665
1928,96260714
1929,96261283
1930,96272452
1931,96350608
1932,96354005
1933,96383285
1934,96436438
1935,96438528
1936,96472503
1937,96473506
1938,96482361
1939,96509615
1940,96516684
1941,96516897
1942,96522490
1943,96526842
1944,96569104
1945,96588743
1946,96634268
1947,96639857
1948,96653274
1949,96687899
1950,96743171
1951,96766551
1952,96780934
1953,96824942
1954,96872553
1955,96879349
1956,96888857
1957,96946986
1958,96982033
1959,97027413
1960,97057794
1961,97070891
1962,97153071
1963,97221898
1964,97237774
1965,97239820
1966,97361692
1967,97362817
1968,97378085
1969,97385966
1970,97395275
1971,97402051
1972,97454104
1973,97485195
1974,97492582
1975,97521454
1976,97559886
1977,97582186
1978,97582740
1979,97588480
1980,97596447
1981,97655550
1982,97696307
1983,97760600
1984,97831574
1985,97837808
1986,97916964
1987,98191290
1988,98191828
1989,98193028
1990,98283756
1991,98391520
1992,98397210
1993,98410169
1994,98421440
1995,98441487
1996,98474256
1997,98509103
1998,98544053
1999,98642237
2000,98647869
2001,98656959
2002,98657794
2003,98704870
2004,98707087
2005,98738196
2006,98799117
2007,98827917
2008,98859771
2009,98881495
2010,98920930
2011,99046244
2012,99076788
2013,99155332
2014,99175076
2015,99191223
2016,99200224
2017,99206728
2018,99288557
2019,99296023
2020,99297266
2021,99297662
2022,99312526
2023,99337379
2024,99351327
2025,99376678
2026,99422958
2027,99439835
2028,99467885
2029,99506598
2030,99508992
2031,99521362
2032,99671800
2033,99716130
2034,99732089
2035,99790013
2036,99831258
2037,99846319
2038,99855028
2039,99877979
2040,99959420
2041,99965107
2042,99970470
2043,100020432
2044,100278800
2045,100321019
2046,100340964
2047,100348363
2048,100433013
2049,100433614
2050,100467744
2051,100503351
2052,100508723
2053,100581183
2054,100593578
2055,100628262
2056,100641238
2057,100668194
2058,100675450
2059,100742879
2060,100829283
2061,100844962
2062,100953879
2063,101012465
2064,101095954
2065,101130778
2066,101229847
2067,101233640
2068,101272036
2069,101287657
2070,101303502
2071,101308967
2072,101350267
2073,101383530
2074,101393512
2075,101406716
2076,101410183
2077,101420090
2078,101437726
2079,101577990
2080,101593672
2081,101637205
2082,101641124
2083,101660008
2084,101834397
2085,101842971
2086,101848056
2087,101850541
2088,101859338
2089,101890494
2090,101901670
2091,101926469
2092,102180942
2093,102306077
2094,102309621
2095,102319266
2096,102330792
2097,102340649
2098,102344113
2099,102381213
2100,102407005
2101,102454754
2102,102460940
2103,102512389
2104,102556102
2105,102571582
2106,102631050
2107,102765926
2108,102770883
2109,102774564
2110,102814686
2111,102883615
2112,102926644
2113,102943698
2114,103006105
2115,103012504
2116,103017188
2117,103071649
2118,103127939
2119,103167831
2120,103201855
2121,103213873
2122,103292752
2123,103303089
2124,103455107
2125,103480493
2126,103484456
2127,103517934
2128,103519094
2129,103520018
2130,103673636
2131,103709002
2132,103787620
2133,103849804
2134,103986936
2135,104032284
2136,104043756
2137,104155786
2138,104174762
2139,104254403
2140,104276166
2141,104296752
2142,104363751
2143,104441311
2144,104453077
2145,104532633
2146,104540213
2147,104563189
